PLAYER	YEAR	TOURNAMENT	TEAM	MATCHES	GOALS	PENALTIES	ASSISTS	YELLOW	RED	STARTS	SUB0IN	SUB0OUT
Petronella Ekroth	2020	Elitettan 2020	Hammarby	6	0	0	0	0	0	4	2	1
Petronella Ekroth	2019	OBOS Damallsvenskan	Djurgårdens IF FF	12	1	0	0	0	0	9	3	1
Petronella Ekroth	2019	Svenska Cupen 2019/20 omg. 1-3	Djurgårdens IF FF	1	0	0	0	1	0	1	0	0
Petronella Ekroth	2018	Damallsvenskan	Djurgårdens IF FF	11	0	0	2	0	0	11	0	0
Petronella Ekroth	2017	Damallsvenskan	Djurgårdens IF FF	21	0	0	0	1	1	20	1	0
Petronella Ekroth	2017	Svenska Cupen omg. 1-3, damer	Djurgårdens IF FF	1	0	0	0	0	0	1	0	0
Petronella Ekroth	2017	Svenska Cupen, Grupp 4	Djurgårdens IF FF	3	1	0	0	0	0	2	1	1
Petronella Ekroth	2017	Svenska Cupen, Slutspel	Djurgårdens IF FF	1	0	0	0	0	0	0	1	0
Petronella Ekroth	2016	Damallsvenskan	Djurgårdens IF FF	16	0	0	0	0	0	15	1	1
Petronella Ekroth	2016	Svenska Cupen, damer	Djurgårdens IF FF	5	2	0	0	0	0	5	0	0
Petronella Ekroth	2015	Damallsvenskan	Hammarby IF DFF	20	0	0	0	2	0	20	0	1
Petronella Ekroth	2015	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	1	1	0
Petronella Ekroth	2014	Elitettan	Hammarby IF DFF	24	4	1	0	2	0	22	2	3
Petronella Ekroth	2014	Svenska Cupen, damer	Hammarby IF DFF	3	2	0	0	1	0	3	0	2
Petronella Ekroth	2013	Elitettan	Hammarby IF DFF	8	1	0	0	0	0	6	2	3
Petronella Ekroth	2013	Svenska Cupen, damer	Hammarby IF DFF	1	0	0	0	0	0	1	0	0
Petronella Ekroth	2011	Damallsvenskan	Jitex BK	7	0	0	0	1	0	6	1	0
Petronella Ekroth	2011	Damallsvenskan	Tyresö FF	1	0	0	0	0	0	0	1	0
Petronella Ekroth	2011	Damallsvenskan	Jitex BK	6	0	0	0	1	0	6	0	0
Petronella Ekroth	2011	Svenska Cupen, damer	Tyresö FF	2	0	0	0	1	0	2	0	0
Petronella Ekroth	2010	Damallsvenskan	AIK	16	0	0	0	2	0	16	0	4
Petronella Ekroth	2011	Damallsvenskan	Tyresö FF	9	0	0	0	0	0	9	0	3
Petronella Ekroth	2011	Damallsvenskan	AIK	7	0	0	0	2	0	7	0	1
Petronella Ekroth	2010	Svenska Cupen, damer	Tyresö FF	2	0	0	0	0	0	2	0	2
Petronella Ekroth	2009	Damallsvenskan	Linköpings FC	3	0	0	0	0	0	0	3	0
Petronella Ekroth	2009	Svenska Cupen, damer	Linköpings FC	2	2	0	0	0	0	2	0	0
Petronella Ekroth	2008	Damallsvenskan	Linköpings FC	2	0	0	0	0	0	1	1	0
Hanna Lundkvist	2020	Elitettan 2020	Hammarby	26	2	0	0	3	0	19	7	9
Hanna Lundkvist	2019	Elitettan	Hammarby IF FF	26	4	0	0	1	0	25	1	6
Hanna Lundkvist	2019	Svenska Cupen 2019/20 omg. 1-3	Hammarby IF FF	1	0	0	0	0	0	0	1	0
Hanna Lundkvist	2018	Elitettan	AIK	1	1	0	0	0	0	0	1	0
Hanna Lundkvist	2018	Svenska Cupen omg. 1-3, damer	AIK	1	0	0	0	0	0	0	1	0
Hanna Lundkvist	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	3	0	0	0	0	0	3	0	2
Ellen Gibson	2020	Elitettan 2020	Hammarby	23	1	0	0	1	0	20	3	4
Ellen Gibson	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	2	0	0	0	0	0	0	2	0
Ellen Gibson	2019	Elitettan	Hammarby IF FF	25	0	0	0	2	0	25	0	0
Ellen Gibson	2018	Div 1 Södra Svealand, damer	Södersnäckornas BK	8	3	0	0	3	0	7	1	0
Ellen Gibson	2018	Damallsvenskan	Hammarby IF FF	8	0	0	0	2	0	3	5	2
Ellen Gibson	2018	RFL Dam Norra Svealand	Lindahl FF	6	11	0	0	0	0	0	0	0
Ellen Gibson	2018	Slutspel	Lindahl FF	2	3	0	0	0	0	0	0	0
Ellen Gibson	2018	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	0	0	0	1	0	1	0	0
Ellen Gibson	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	3	0	0	0	0	0	3	0	0
Ellen Gibson	2017	Damallsvenskan	Hammarby IF FF	12	0	0	1	1	0	7	5	3
Ellen Gibson	2017	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	0	0	0	0	0	1	0	1
Ellen Gibson	2017	Svenska Cupen, Grupp 4	Hammarby IF FF	3	1	0	0	0	0	1	2	0
Ellen Gibson	2016	Elitettan	Hammarby IF DFF	1	0	0	0	0	0	1	0	0
Ellen Gibson	2015	Damallsvenskan	Hammarby IF DFF	2	0	0	0	0	0	0	2	0
Ellen Gibson	2014	Elitettan	Hammarby IF DFF	20	1	0	0	1	0	12	8	3
Ellen Gibson	2014	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	2	0	1
Ellen Gibson	2013	Elitettan	Hammarby IF DFF	24	1	1	0	1	0	20	4	4
Ellen Gibson	2013	Svenska Cupen, damer	Hammarby IF DFF	1	0	0	0	0	0	1	0	0
Ellen Gibson	2012	Norrettan, damer	Hammarby IF DFF	14	0	0	0	0	0	12	2	7
Ellen Gibson	2012	Svenska Cupen, damer	Hammarby IF DFF	2	2	0	0	1	0	2	0	1
Ellen Gibson	2011	Damallsvenskan	Hammarby IF DFF	1	0	0	0	0	0	0	1	0
Emma Jansson	2020	Elitettan 2020	Hammarby	25	18	4	0	3	0	24	1	5
Emma Jansson	2019	Elitettan	Hammarby IF FF	25	16	1	0	4	0	24	1	3
Emma Jansson	2018	Damallsvenskan	Hammarby IF FF	21	6	1	1	1	0	19	2	7
Emma Jansson	2018	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	1	0	0	0	0	1	0	1
Emma Jansson	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	3	1	0	0	1	0	3	0	1
Emma Jansson	2017	Damallsvenskan	KIF Örebro DFF	20	5	0	0	1	0	19	1	4
Emma Jansson	2017	Svenska Cupen omg. 1-3, damer	KIF Örebro DFF	1	1	0	0	0	0	1	0	1
Emma Jansson	2017	Svenska Cupen, Grupp 4	Hammarby IF FF	3	0	0	0	0	0	3	0	0
Emma Jansson	2016	Damallsvenskan	Eskilstuna United DFF	14	0	0	0	1	0	10	4	4
Emma Jansson	2016	Svenska Cupen, damer	KIF Örebro DFF	3	0	0	0	0	0	3	0	2
Emma Jansson	2016	Svenska Cupen, damer	Eskilstuna United DFF	2	0	0	0	0	0	2	0	1
Emma Jansson	2016	Svenska Cupen, damer	KIF Örebro DFF	1	0	0	0	0	0	1	0	1
Emma Jansson	2015	Damallsvenskan Hammarby IF DFF	18	4	0	1	2	0	14	4	5	
Emma Jansson	2015	Svenska Cupen, damer	Eskilstuna United DFF	3	5	1	0	0	0	2	1	0
Emma Jansson	2015	Svenska Cupen, damer	Hammarby IF DFF	1	5	1	0	0	0	1	0	0
Emma Jansson	2015	Svenska Cupen, damer	Eskilstuna United DFF	2	0	0	0	0	0	1	1	0
Emma Jansson	2014	Elitettan	Hammarby IF DFF	17	9	0	0	0	0	14	3	0
Emma Jansson	2014	Svenska Cupen, damer	Hammarby IF DFF	3	6	0	0	0	0	2	1	1
Emma Jansson	2013	Elitettan	Hammarby IF DFF	23	12	0	0	0	0	17	6	9
Emma Jansson	2013	Svenska Cupen, damer	Hammarby IF DFF	1	0	0	0	0	0	1	0	1
Emma Jansson	2012	Norrettan, damer	Hammarby IF DFF	9	3	0	0	0	0	6	3	3
Ellen Wangerheim	2020	Elitettan 2020	Hammarby	15	2	0	0	1	0	3	12	2
Ellen Wangerheim	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	1	1	0	0	0	0	1	0	0
Elsa Karlsson	2020	Elitettan 2020	Hammarby	26	2	0	0	1	0	26	0	0
Elsa Karlsson	2019	Elitettan	IFK Kalmar	23	2	0	0	1	0	21	2	0
Elsa Karlsson	2019	Svenska Cupen 2019/20 omg. 1-3	IFK Kalmar	2	0	0	0	0	0	2	0	0
Elsa Karlsson	2018	Damallsvenskan	IFK Kalmar	22	1	0	3	1	0	22	0	0
Elsa Karlsson	2018	Svenska Cupen omg. 1-3, damer	IFK Kalmar	1	0	0	0	0	0	1	0	0
Elsa Karlsson	2018	Svenska Cupen, Grupp 2	IFK Kalmar	3	0	0	0	0	0	3	0	1
Elsa Karlsson	2017	Elitettan	IFK Kalmar	26	2	0	0	0	0	26	0	0
Elsa Karlsson	2017	Svenska Cupen omg. 1-3, damer	IFK Kalmar	2	0	0	0	0	0	2	0	0
Elsa Karlsson	2016	Elitettan	IFK Kalmar	26	2	0	0	2	0	26	0	0
Elsa Karlsson	2016	Svenska Cupen, damer	IFK Kalmar	2	0	0	0	0	0	2	0	1
Elsa Karlsson	2015	Elitettan	IFK Kalmar	26	1	0	0	1	0	26	0	0
Elsa Karlsson	2015	Svenska Cupen, damer	IFK Kalmar	3	0	0	0	0	0	3	0	0
Elsa Karlsson	2014	Div 1 Östra Götaland, damer	IFK Kalmar	22	4	0	0	0	0	22	0	0
Elsa Karlsson	2013	Elitettan	IFK Kalmar	26	3	0	0	0	0	26	0	4
Elsa Karlsson	2013	Svenska Cupen, damer	IFK Kalmar	2	1	0	0	0	0	2	0	1
Elsa Karlsson	2012	Söderettan, damer	IFK Kalmar	21	0	0	0	1	0	21	0	0
Elsa Karlsson	2012	Svenska Cupen, damer	IFK Kalmar	3	0	0	0	0	0	3	0	0
Elsa Karlsson	2011	Söderettan, damer	IFK Kalmar	18	0	0	0	0	0	9	9	3
Elsa Karlsson	2011	Svenska Cupen, damer	IFK Kalmar	3	0	0	0	0	0	1	2	0
Elsa Karlsson	2010	Svenska Cupen, damer	Rödsle BK	3	2	0	0	0	0	3	0	1
Emilia Larsson	2020	Elitettan 2020	Hammarby	26	17	1	0	2	0	21	5	13
Emilia Larsson	2019	Elitettan	Hammarby IF FF	25	12	0	0	3	0	24	1	8
Emilia Larsson	2018	Div 1 Mellersta Götaland, damer	IFK Norrköping FK	19	21	2	0	3	0	19	0	1
Emilia Larsson	2018	Svenska Cupen omg. 1-3, damer	IFK Norrköping FK	3	4	0	0	1	0	3	0	2
Emilia Larsson	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	3	0	0	0	0	0	3	0	0
Emilia Larsson	2017	Div 1 Södra Svealand, damer	IFK Norrköping DFK	16	10	1	0	6	0	16	0	2
Emilia Larsson	2017	Div 1 Södra Svealand, damer	IFK Nyköping	13	9	1	0	5	0	13	0	2
Emilia Larsson	2017	Div 1 Södra Svealand, damer	IFK Norrköping DFK	3	1	0	0	1	0	3	0	0
Emilia Larsson	2017	Svenska Cupen omg. 1-3, damer	IFK Nyköping	1	2	0	0	0	0	1	0	1
Emilia Larsson	2016	Damallsvenskan	Linköpings FC	9	1	0	0	1	0	0	9	0
Emilia Larsson	2016	Svenska Cupen, damer	Linköpings FC	1	0	0	0	0	0	1	0	0
Emilia Larsson	2015	Damallsvenskan	Linköpings FC	1	0	0	0	0	0	0	1	0
Emilia Larsson	2015	Svenska Cupen, damer	Linköpings FC	3	0	0	0	0	0	2	1	0
Emilia Larsson	2014	Damallsvenskan	Linköpings FC	1	0	0	0	0	0	0	1	0
Emilia Larsson	2014	Svenska Cupen, damer	Linköpings FC	2	0	0	0	0	0	1	1	1
Emilia Larsson	2013	Svenska Cupen, damer	Linköpings FC	1	0	0	0	0	0	0	1	0
Hanna Folkesson	2020	Elitettan 2020	Hammarby	20	4	0	0	3	0	19	1	5	
Hanna Folkesson	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	1	0	0	0	0	0	1	0	1	
Hanna Folkesson	2019	OBOS Damallsvenskan	Djurgårdens IF FF	21	1	0	0	2	0	20	1	2	
Hanna Folkesson	2018	Damallsvenskan	FC Rosengård	21	0	0	0	2	0	20	1	4	
Hanna Folkesson	2018	Svenska Cupen omg. 1-3, damer	FC Rosengård	1	0	0	0	0	0	1	0	1	
Hanna Folkesson	2018	Svenska Cupen, Grupp 4	Djurgårdens IF FF	2	1	0	0	0	0	2	0	0	
Hanna Folkesson	2018	Svenska Cupen, Slutspel	Djurgårdens IF FF	1	0	0	0	1	0	1	0	0	
Hanna Folkesson	2017	Damallsvenskan	FC Rosengård	21	1	0	0	3	0	18	3	5	
Hanna Folkesson	2017	Svenska Cupen omg. 1-3, damer	FC Rosengård	1	0	0	0	0	0	0	1	0	
Hanna Folkesson	2017	Svenska Cupen, Grupp 2	FC Rosengård	3	0	0	0	0	0	3	0	0	
Hanna Folkesson	2017	Svenska Cupen, Slutspel	FC Rosengård	2	0	0	0	0	0	2	0	0	
Hanna Folkesson	2016	Damallsvenskan	Umeå IK FF	9	0	0	0	0	0	7	2	2	
Hanna Folkesson	2016	Svenska Cupen, damer	FC Rosengård	3	0	0	0	0	0	0	3	0	
Hanna Folkesson	2014	Damallsvenskan	Umeå IK FF	17	2	0	1	2	0	16	1	5	
Hanna Folkesson	2014	Svenska Cupen, damer	Umeå IK FF	1	0	0	0	0	0	1	0	1	
Hanna Folkesson	2013	Damallsvenskan	Umeå IK FF	18	0	0	0	1	0	17	1	2	
Hanna Folkesson	2013	Svenska Cupen, damer	Umeå IK FF	3	0	0	0	1	0	3	0	1	
Hanna Folkesson	2012	Damallsvenskan	AIK FF	20	0	0	1	2	0	20	0	0	
Hanna Folkesson	2012	Svenska Cupen, damer	AIK FF	1	1	0	0	0	0	1	0	1	
Hanna Folkesson	2011	Norrettan, damer	AIK FF	19	4	0	0	5	0	19	0	3	
Hanna Folkesson	2011	Svenska Cupen, damer	AIK FF	3	0	0	0	0	0	3	0	0	
Hanna Folkesson	2010	Damallsvenskan	AIK	21	0	0	0	3	0	21	0	1	
Hanna Folkesson	2010	Svenska Cupen, damer	AIK	2	1	0	0	0	0	2	0	0	
Hanna Folkesson	2009	Damallsvenskan	AIK	21	1	0	0	0	0	21	0	4	
Hanna Folkesson	2009	Svenska Cupen, damer	AIK	2	0	0	0	0	0	2	0	0	
Hanna Folkesson	2008	Damallsvenskan	Umeå Södra FF	18	1	0	0	0	0	18	0	1	
Alice Carlsson	2020	Elitettan 2020	Hammarby	26	1	0	0	1	0	26	0	1	
Alice Carlsson	2019	Elitettan	IF Brommapojkarna	26	1	0	0	2	0	26	0	0	
Alice Carlsson	2018	Div 1 Mellersta Götaland, damer	Jitex Mölndal BK	22	0	0	0	2	0	22	0	3	
Alice Carlsson	2018	Svenska Cupen omg. 1-3, damer	Jitex Mölndal BK	1	0	0	0	0	0	1	0	0	
Alice Carlsson	2017	Div 1 Mellersta Götaland, damer	Jitex Mölndal BK	21	2	0	0	2	0	21	0	0	
Alice Carlsson	2017	Svenska Cupen omg. 1-3, damer	Jitex Mölndal BK	2	0	0	0	0	0	2	0	0	
Alice Carlsson	2016	Div 1 Mellersta Götaland, damer	IFK Örby	22	0	0	0	1	0	22	0	1	
Alice Carlsson	2016	Svenska Cupen, damer	IFK Örby	1	0	0	0	0	0	1	0	0	
Alice Carlsson	2015	Div 1 Mellersta Götaland, damer	IFK Örby	22	1	1	0	1	0	22	0	0	
Alice Carlsson	2015	Svenska Cupen, damer	IFK Örby	2	0	0	0	0	0	2	0	0	
Alice Carlsson	2014	Div 1 Västra Götaland, damer	IFK Örby	20	0	0	0	1	0	20	0	1	
Alice Carlsson	2013	Div 1 Norra Götaland, damer	Qviding FIF	10	0	0	0	0	0	9	1	2	
Alice Carlsson	2013	Div 1 Södra Götaland, damer	IFK Örby	1	0	0	0	0	0	0	1	0	
Alice Carlsson	2011	Svenska Cupen, damer	IFK Örby	1	0	0	0	0	0	1	0	0	
Frida Thörnqvist	2020	Elitettan 2020	Hammarby	7	2	0	0	0	0	1	6	1	
Frida Thörnqvist	2019	Div 1 Södra Svealand, damer	Tyresö FF	17	21	0	0	2	1	16	1	0	
Frida Thörnqvist	2019	Svenska Cupen 2019/20 omg. 1-3	Tyresö FF	3	1	0	0	0	0	3	0	1	
Frida Thörnqvist	2018	Div 1 Södra Svealand, damer	Tyresö FF	21	11	0	0	0	0	18	3	9	
Frida Thörnqvist	2018	Svenska Cupen omg. 1-3, damer	Tyresö FF	2	1	0	0	0	0	1	1	0	
Frida Thörnqvist	2017	Div 1 Södra Svealand, damer	Tyresö FF	17	5	0	0	0	0	16	1	5	
Frida Thörnqvist	2017	Svenska Cupen omg. 1-3, damer	Tyresö FF	2	1	0	0	0	0	1	1	2	
Frida Thörnqvist	2016	Svenska Cupen, damer	Tyresö FF	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2020	Elitettan 2020	Hammarby	6	0	0	0	0	0	5	1	0	
Jonna Andersson	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2019	Elitettan	Hammarby IF FF	4	0	0	0	0	0	4	0	0	
Jonna Andersson	2019	Svenska Cupen 2019/20 omg. 1-3	Hammarby IF FF	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2018	Elitettan	Västerås BK 30	10	0	0	0	0	0	10	0	0	
Jonna Andersson	2018	Elitettan	Västerås BK 30	8	0	0	0	0	0	8	0	0	
Jonna Andersson	2018	Elitettan	Lidköpings FK	2	0	0	0	0	0	2	0	0	
Jonna Andersson	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2017	Elitettan	IFK Kalmar	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2017	Svenska Cupen omg. 1-3, damer	IFK Kalmar	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2017	Svenska Cupen, Grupp 1	Lidköpings FK	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2015	Elitettan	IFK Kalmar	1	0	0	0	0	0	0	1	0	
Jonna Andersson	2015	Svenska Cupen, damer	IFK Kalmar	1	0	0	0	0	0	1	0	0	
Jonna Andersson	2014	Div 1 Östra Götaland, damer	Mariebo IK	22	0	0	0	1	0	22	0	1	
Jonna Andersson	2013	Div 1 Östra Götaland, damer	Mariebo IK	9	0	0	0	0	0	9	0	0	
Jonna Andersson	2011	Svenska Cupen, damer	Mariebo IK	2	0	0	0	0	0	2	0	0	
Jonna Ståhl	2020	Elitettan 2020	Hammarby	1	0	0	0	0	0	0	1	0	
Jonna Ståhl	2019	Elitettan	Hammarby IF FF	8	2	0	0	0	0	4	4	5	
Jonna Ståhl	2018	Damallsvenskan	Växjö DFF	19	1	0	0	0	0	15	4	9	
Jonna Ståhl	2018	Svenska Cupen omg. 1-3, damer	Växjö DFF	1	0	0	0	0	0	0	1	0	
Jonna Ståhl	2017	Elitettan	Växjö DFF	26	8	0	0	0	0	25	2	9	
Jonna Ståhl	2017	Svenska Cupen omg. 1-3, damer	Växjö DFF	1	0	0	0	0	0	1	0	0	
Jonna Ståhl	2016	Elitettan	Växjö DFF	23	7	0	0	1	0	19	4	4	
Jonna Ståhl	2016	Svenska Cupen, damer	Växjö DFF	3	0	0	0	1	0	3	0	0	
Jonna Ståhl	2015	Elitettan	IFK Kalmar	21	2	0	0	0	0	8	13	6	
Jonna Ståhl	2015	Svenska Cupen, damer	IFK Kalmar	2	1	0	0	0	0	1	1	0	
Jonna Ståhl	2014	Div 1 Östra Götaland, damer	Husqvarna FF	20	5	0	0	0	0	20	0	0	
Jonna Ståhl	2013	Div 1 Östra Götaland, damer	Husqvarna FF	12	3	0	0	1	0	11	1	1	
June Pedersen	2020	Elitettan 2020	Hammarby	24	3	0	0	1	0	24	0	11	
June Pedersen	2019	OBOS Damallsvenskan	Piteå IF DFF	22	0	0	3	0	0	22	0	2	
June Pedersen	2019	Svenska Cupen 2019/20 omg. 1-3	Piteå IF DFF	1	0	0	0	0	0	0	1	0	
June Pedersen	2018	Damallsvenskan	Piteå IF DFF	20	3	2	4	4	0	20	0	2	
June Pedersen	2018	Svenska Cupen, Grupp 3	Piteå IF DFF	3	0	0	0	0	0	3	0	0	
June Pedersen	2018	Svenska Cupen, Slutspel	Piteå IF DFF	1	0	0	0	1	0	1	0	0	
June Pedersen	2017	Damallsvenskan	Piteå IF DFF	22	1	0	7	1	0	22	0	0	
June Pedersen	2017	Svenska Cupen omg. 1-3, damer	Piteå IF DFF	1	1	1	0	0	0	1	0	0	
June Pedersen	2017	Svenska Cupen, Grupp 4	Piteå IF DFF	3	1	1	0	0	0	3	0	0	
June Pedersen	2016	Damallsvenskan	Piteå IF	22	3	0	5	2	0	22	0	0	
June Pedersen	2016	Svenska Cupen, damer	Piteå IF DFF	3	1	0	0	0	0	3	0	0	
June Pedersen	2016	Svenska Cupen, damer	Piteå IF DFF	2	0	0	0	0	0	2	0	0	
June Pedersen	2016	Svenska Cupen, damer	Piteå IF	1	1	0	0	0	0	1	0	0	
June Pedersen	2015	Damallsvenskan	Piteå IF	22	6	1	5	1	0	22	0	0	
June Pedersen	2015	Svenska Cupen, damer	Piteå IF	3	0	0	0	0	0	3	0	0	
June Pedersen	2014	Damallsvenskan	Piteå IF	18	4	2	3	0	0	18	0	8	
June Pedersen	2014	Svenska Cupen, damer	Piteå IF	3	1	0	0	0	0	2	1	0	
June Pedersen	2013	Damallsvenskan	Piteå IF	21	3	0	9	4	0	21	0	3	
June Pedersen	2013	Svenska Cupen, damer	Piteå IF	3	2	2	0	0	0	2	1	1	
June Pedersen	2012	Damallsvenskan	Piteå IF	20	3	0	2	2	0	16	4	12	
June Pedersen	2012	Svenska Cupen, damer	Piteå IF	2	0	0	0	0	0	1	1	1	
June Pedersen	2011	Damallsvenskan	Piteå IF	22	6	0	3	1	0	22	0	2	
June Pedersen	2011	Svenska Cupen, damer	Piteå IF	1	0	0	0	0	0	0	1	0	
June Pedersen	2010	Norrettan, damer	Piteå IF	22	17	1	0	2	0	21	1	4	
June Pedersen	2010	Svenska Cupen, damer	Piteå IF	2	7	0	0	0	0	2	0	0	
June Pedersen	2009	Damallsvenskan	Piteå IF	22	3	0	0	0	0	22	0	11	
June Pedersen	2009	Svenska Cupen, damer	Piteå IF	2	2	0	0	0	0	2	0	1	
June Pedersen	2008	Damallsvenskan	Umeå IK	9	0	0	0	0	0	6	3	3	
Britta Elsert Gynning	2020	Elitettan 2020	Hammarby	21	0	0	0	1	0	21	0	1	
Britta Elsert Gynning	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2019	Elitettan	Hammarby IF FF	22	0	0	0	1	0	22	0	0	
Britta Elsert Gynning	2018	Damallsvenskan	Eskilstuna United DFF	4	0	0	0	0	0	4	0	0	
Britta Elsert Gynning	2018	Svenska Cupen omg. 1-3, damer	Eskilstuna United DFF	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2018	Svenska Cupen, Grupp 3	Hammarby IF FF	2	0	0	0	0	0	2	0	0	
Britta Elsert Gynning	2017	Damallsvenskan	Eskilstuna United DFF	2	0	0	0	0	0	2	0	0	
Britta Elsert Gynning	2017	Svenska Cupen omg. 1-3, damer	Eskilstuna United DFF	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2017	Svenska Cupen, Grupp 3	Eskilstuna United DFF	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2016	Svenska Cupen, damer	Eskilstuna United DFF	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2015	Damallsvenskan	AIK	13	0	0	0	0	0	11	2	0	
Britta Elsert Gynning	2015	Svenska Cupen, damer	AIK	2	0	0	0	0	0	2	0	0	
Britta Elsert Gynning	2014	Damallsvenskan	AIK FF	2	0	0	0	0	0	2	0	0	
Britta Elsert Gynning	2014	Svenska Cupen, damer	AIK	2	0	0	0	0	0	2	0	0	
Britta Elsert Gynning	2014	Svenska Cupen, damer	AIK	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2014	Svenska Cupen, damer	AIK FF	1	0	0	0	0	0	1	0	0	
Britta Elsert Gynning	2013	Elitettan	AIK FF	1	0	0	0	0	0	0	1	0	
Helén Eke	2020	Elitettan 2020	Hammarby	16	1	0	0	1	0	10	7	3	
Helén Eke	2020	Svenska Cupen 2020/21 omg. 1-3	Hammarby	2	0	0	0	0	0	2	0	1	
Helén Eke	2019	Elitettan	Hammarby IF FF	8	0	0	0	0	1	7	1	2	
Helén Eke	2019	Svenska Cupen 2019/20 omg. 1-3	Hammarby IF FF	1	0	0	0	0	0	1	0	1	
Helén Eke	2018	Damallsvenskan	Hammarby IF FF	8	0	0	1	1	0	6	2	1	
Helén Eke	2017	Damallsvenskan	Hammarby IF FF	15	0	0	0	1	0	12	3	2	
Helén Eke	2017	Svenska Cupen omg. 1-3, damer	Hammarby IF FF	1	1	0	0	0	0	1	0	0	
Helén Eke	2017	Svenska Cupen, Grupp 4	Hammarby IF FF	3	0	0	0	1	0	2	1	2	
Helén Eke	2015	Damallsvenskan	Hammarby IF DFF	15	0	0	0	2	0	10	5	1	
Helén Eke	2015	Svenska Cupen, damer	Hammarby IF DFF	3	1	0	0	1	0	3	0	0	
Helén Eke	2014	Elitettan	Hammarby IF DFF	21	4	0	0	0	0	20	1	0	
Helén Eke	2014	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	1	1	0	
Helén Eke	2013	Damallsvenskan	KIF Örebro DFF	14	4	0	0	2	0	10	4	9	
Helén Eke	2013	Svenska Cupen, damer	KIF Örebro DFF	1	0	0	0	0	0	0	1	0	
Helén Eke	2012	Svenska Cupen, damer	Tyresö FF	1	0	0	0	0	0	1	0	0	
Helén Eke	2011	Damallsvenskan	Hammarby IF DFF	16	0	0	0	2	0	16	0	2	
Helén Eke	2011	Svenska Cupen, damer	Hammarby IF DFF	2	0	0	0	0	0	2	0	0	
Helén Eke	2010	Norrettan, damer	Rågsveds IF	13	1	0	0	3	0	13	0	0	
Helén Eke	2010	Damallsvenskan	Tyresö FF	7	1	0	0	0	0	2	5	0	
Helén Eke	2010	Svenska Cupen, damer	Tyresö FF	2	0	0	0	0	0	1	1	0	
